asset_class,target,availability_rate,gap_to_target,rated_n,below_target_n
Medium,92,0.8611638211554251,-0.05883617884457493,607,297
Heavy,85,0.7947783575446652,-0.055221642455334785,588,275
Light,95,0.9148903939302883,-0.035109606069711696,2101,877
Off-Road,88,0.8882087992549461,0.008208799254946109,608,175
Other,90,0.9337194166028758,0.03371941660287581,501,110
