_id,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CAT_DESC,UNIT_TYPE,CATEGORY_CLASS,CAT_GRP,IN_SERV_DT,STATUS_DESC,CLASS2,HIGH_PRIORITY,OWNER_DIVISION,REF_DIVISION,SEASONAL,AVAILABILITY_YTD
881,046047,2024,FORD,RANGER,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2025-05-02,Active Unit,FLEE,None,TORONTO HOUSING COMPANY,TORONTO HOUSING COMPANY,Non Seasonal,1
882,046048,2024,FORD,MAVERICK,5CC1FTUZZZ,PU-COMP-CC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2025-05-02,Active Unit,FLEE,None,TORONTO HOUSING COMPANY,TORONTO HOUSING COMPANY,Non Seasonal,0.942551523297491
883,046049,2024,FORD,MAVERICK,5CC1FTUZZZ,PU-COMP-CC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2024-12-10,Active Unit,FLEE,None,"SHELTER, SUP., & HOUSING ADMIN","SHELTER, SUP., & HOUSING ADMIN",Non Seasonal,0.9852464157706093
884,046050,2024,FORD,MAVERICK,5CC1FTUZZZ,PU-COMP-CC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2025-01-29,Active Unit,FLEE,None,"SHELTER, SUP., & HOUSING ADMIN","SHELTER, SUP., & HOUSING ADMIN",Non Seasonal,0.9998717517921146
885,046051,2024,FORD,MAVERICK,5CC1FTUZZZ,PU-COMP-CC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2024-11-27,Active Unit,FLEE,None,"SHELTER, SUP., & HOUSING ADMIN","SHELTER, SUP., & HOUSING ADMIN",Non Seasonal,0.9857683691756273
886,046052,2024,FORD,MAVERICK,5CC1FTUZZZ,PU-COMP-CC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2024-11-21,Active Unit,FLEE,None,"SHELTER, SUP., & HOUSING ADMIN","SHELTER, SUP., & HOUSING ADMIN",Non Seasonal,0.4923051075268817
887,046053,2024,FORD,MAVERICK,5CC1FTUZZZ,PU-COMP-CC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2025-07-09,Active Unit,FLEE,None,"SHELTER, SUP., & HOUSING ADMIN","SHELTER, SUP., & HOUSING ADMIN",Non Seasonal,1
888,046054,2024,FORD,MAVERICK,5CC1FTUZZZ,PU-COMP-CC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2024-11-27,Active Unit,FLEE,None,"SHELTER, SUP., & HOUSING ADMIN","SHELTER, SUP., & HOUSING ADMIN",Non Seasonal,0.9895015681003584
889,047038,2010,CHEVROLET,COLORADO,5CE1TTUZZZ,PU-COMP-EC CL1 4X2 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2009-12-17,Replacement Program,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.34713317652329756
890,047040,2010,CHEVROLET,COLORADO,5CE1TTUZZZ,PU-COMP-EC CL1 4X2 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2010-02-10,Replacement Program,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,1
