_id,UNIT_NO,YEAR,MAKE,MODEL,Specialized units,REF_USING_DIV,Utilization
61,112545,2023,FORD,TRANSIT 250,Yes,ENGINEERING & CONSTR. SERVICES,Not Underutilized
62,112546,2023,FORD,TRANSIT 250,Yes,ENGINEERING & CONSTR. SERVICES,Not Underutilized
63,112556,2024,CHEVROLET,EXPRESS 2500,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
64,112557,2024,CHEVROLET,EXPRESS 2500,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
65,112558,2024,CHEVROLET,EXPRESS 2500,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
66,112559,2024,CHEVROLET,EXPRESS 2500,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
67,112560,2024,CHEVROLET,EXPRESS 2500,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
68,112561,2024,CHEVROLET,EXPRESS 2500,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
69,113083,2023,FORD,TRANSIT 250,Yes,ENGINEERING & CONSTR. SERVICES,Not Underutilized
70,001052,2015,TOYOTA,YARIS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
71,001053,2015,TOYOTA,YARIS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
72,001054,2015,TOYOTA,YARIS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
73,001062,2015,TOYOTA,YARIS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
74,001065,2016,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
75,001071,2016,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
76,001072,2016,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
77,001073,2016,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
78,001115,2017,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
79,001116,2017,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
80,001117,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
81,001118,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
82,001119,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
83,001120,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
84,001121,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
85,001122,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
86,001123,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
87,001124,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
88,001126,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
89,001127,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
90,001128,2018,NISSAN,VERSA NOTE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
91,001157,2021,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
92,001158,2021,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
93,001159,2021,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
94,001160,2021,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
95,001161,2021,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
96,003094,2010,FORD,FUSION HYBRI,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
97,003095,2010,FORD,FUSION HYBRI,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
98,003200,2012,TOYOTA,PRIUS C,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
