_id,UNIT_NO,YEAR,MAKE,MODEL,Specialized units,REF_USING_DIV,Utilization
252,111065,2016,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
253,111066,2017,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
254,111067,2017,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
255,111086,2018,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Underutilized
256,111114,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
257,111115,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
258,111116,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
259,111117,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
260,111118,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
261,111119,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
262,111120,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
263,111121,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
264,111122,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
265,111123,2023,FORD,TRANSIT 150,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
266,112256,2009,FORD,E250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
267,112270,2011,FORD,E250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
268,112317,2012,FORD,E250,Yes,FACILITIES MGMT & REAL ESTATE,Underutilized
269,112318,2012,FORD,E250,Yes,FACILITIES MGMT & REAL ESTATE,Underutilized
270,112320,2012,FORD,E250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
271,112323,2012,FORD,E250,Yes,FACILITIES MGMT & REAL ESTATE,Underutilized
272,112324,2012,FORD,E250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
273,112333,2011,MERCEDES,SPRINTER2500,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
274,112337,2013,FORD,E250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
275,112416,2018,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
276,112417,2018,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
277,112418,2018,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
278,112419,2018,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
279,112420,2018,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
280,112421,2018,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
281,112490,2020,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
282,112491,2020,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
283,112519,2020,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
284,112524,2020,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
285,112525,2020,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
286,112532,2023,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
287,112554,2024,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
288,112555,2024,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
289,113056,2020,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
290,113057,2020,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
291,113068,2023,FORD,TRANSIT 350,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
292,113069,2023,FORD,TRANSIT 350,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
293,113070,2023,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
294,113071,2023,FORD,TRANSIT 250,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
295,114037,2015,FORD,TRANSIT 350,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
296,114038,2017,FORD,TRANSIT 350,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
297,114039,2017,FORD,TRANSIT 350,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
298,114048,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
299,114065,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
300,114066,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
301,114067,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
302,114068,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
303,114070,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
304,114071,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
305,114072,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
306,114073,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
307,114074,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
308,114075,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
309,114076,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
310,114077,2024,FORD,TRANSIT 350 ELEC,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
311,201009,2016,CHEVROLET,EXPRESS 3500,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
312,001134,2020,CHEVROLET,SPARK LS,No,FLEET SERVICES,Not Underutilized
313,003334,2023,CHEVROLET,BOLT EUV,No,FLEET SERVICES,Underutilized
314,003392,2023,CHEVROLET,BOLT EUV,No,FLEET SERVICES,Underutilized
315,020054,2024,TOYOTA,MIRAI,No,FLEET SERVICES,Not Underutilized
316,020055,2024,TOYOTA,MIRAI,No,FLEET SERVICES,Not Underutilized
317,020056,2024,TOYOTA,MIRAI,No,FLEET SERVICES,Not Underutilized
318,020057,2024,TOYOTA,MIRAI,No,FLEET SERVICES,Not Underutilized
319,041286,2018,FORD,ESCAPE,No,FLEET SERVICES,Underutilized
320,041398,2020,CHEVROLET,EQUINOX,No,FLEET SERVICES,Not Underutilized
321,045118,2017,DODGE,RAM 1500,Yes,FLEET SERVICES,Not Underutilized
322,045119,2017,DODGE,RAM 1500,Yes,FLEET SERVICES,Not Underutilized
323,050024,2014,DODGE,RAM 1500,No,FLEET SERVICES,Not Underutilized
324,050038,2017,DODGE,RAM 1500,No,FLEET SERVICES,Not Underutilized
325,050082,2019,DODGE,RAM 1500 (TRADESMAN),Yes,FLEET SERVICES,Not Underutilized
326,050083,2019,DODGE,RAM 1500 (TRADESMAN),Yes,FLEET SERVICES,Not Underutilized
327,050084,2019,DODGE,RAM 1500 (TRADESMAN),Yes,FLEET SERVICES,Not Underutilized
328,050211,2023,FORD,F150 LIGHTNING,Yes,FLEET SERVICES,Not Underutilized
329,051006,2012,CHEVROLET,COLORADO,No,FLEET SERVICES,Underutilized
330,062094,2013,FORD,F250,No,FLEET SERVICES,Underutilized
331,064209,2024,FORD,F250 4X4,No,FLEET SERVICES,Not Underutilized
332,064210,2024,FORD,F250 4X4,No,FLEET SERVICES,Not Underutilized
333,065114,2013,FORD,F250,No,FLEET SERVICES,Underutilized
334,095125,2015,DODGE,CARAVAN C/V,Yes,FLEET SERVICES,Not Underutilized
335,094100,2018,FORD,TRANSIT CONN,No,INFORMATION & TECHNOLOGY,Not Underutilized
336,095158,2018,FORD,TRANSIT CONN,Yes,INFORMATION & TECHNOLOGY,Not Underutilized
337,094116,2019,CHRYSLER,PACIFICA,No,MAYORS OFFICE,Not Underutilized
338,001067,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Underutilized
339,001068,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
340,001075,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
341,001077,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
342,001078,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
343,001079,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
344,001082,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
345,001083,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
346,001084,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
347,001085,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
348,001087,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
349,001089,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
350,001098,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
351,001100,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
352,001101,2016,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
353,001112,2017,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
354,001113,2017,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
355,001114,2018,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
356,001130,2017,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Underutilized
357,001131,2017,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
358,001132,2018,NISSAN,VERSA NOTE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
359,001141,2020,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
360,001142,2020,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
361,001143,2020,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
362,001144,2020,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
363,001151,2022,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
364,001152,2022,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
365,001153,2022,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
366,001154,2022,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
367,001155,2022,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
368,001156,2022,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
369,001162,2021,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
370,001163,2021,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Underutilized
371,001164,2022,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
372,001165,2022,CHEVROLET,SPARK LS,No,MUNICIPAL LICENSING & STDS,Not Underutilized
373,003237,2019,CHEVROLET,MALIBU HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
374,003238,2019,CHEVROLET,MALIBU HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
375,003239,2019,CHEVROLET,MALIBU HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
376,003242,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
377,003243,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
378,003244,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
379,003245,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
380,003246,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
381,003247,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
382,003248,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
383,003249,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
384,003250,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
385,003251,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
386,003252,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
387,003265,2020,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
388,003286,2021,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
389,003287,2021,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
390,003288,2021,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
391,003289,2021,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
392,003290,2021,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
393,003292,2021,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
394,003293,2021,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
395,003295,2021,CHEVROLET,MALIBU,No,MUNICIPAL LICENSING & STDS,Not Underutilized
396,003340,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
397,003341,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
398,003343,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
399,003344,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
400,003345,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
401,003346,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
402,003350,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
403,003351,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
404,003352,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
405,003353,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
406,003357,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
407,003390,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
408,003391,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
409,003393,2023,CHEVROLET,BOLT EUV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
410,006029,2013,TOYOTA,CAMRY HYB,No,MUNICIPAL LICENSING & STDS,Not Underutilized
411,006032,2013,TOYOTA,CAMRY HYB,No,MUNICIPAL LICENSING & STDS,Not Underutilized
412,020001,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
413,020002,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
414,020003,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
415,020004,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
416,020005,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
417,020006,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
418,020007,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
419,020008,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
420,020009,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
421,020010,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
422,020011,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
423,020012,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
424,020013,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
425,020014,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
426,020015,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
427,020016,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
428,020017,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
429,020018,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
430,020019,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
431,020020,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
432,020021,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
433,020022,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
434,020024,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
435,020025,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
436,020026,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
437,020027,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
438,020028,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
439,020029,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
440,020030,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
441,020031,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
442,020032,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
443,020033,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
444,020034,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
445,020035,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
446,020036,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
447,020037,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
448,020038,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
449,020039,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
450,020040,2019,CHEVROLET,CRUZE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
451,041186,2016,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
452,041204,2016,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
453,041206,2016,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
454,041207,2016,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
455,041208,2016,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
456,041209,2016,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
457,041212,2017,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
458,041218,2017,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
459,041219,2017,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
460,041220,2017,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
461,041221,2017,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
462,041222,2017,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
463,041283,2018,FORD,ESCAPE,No,MUNICIPAL LICENSING & STDS,Not Underutilized
464,041330,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
465,041331,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
466,041332,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
467,041333,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
468,041334,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
469,041340,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
470,041341,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
471,041342,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
472,041343,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
473,041344,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
474,041345,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
475,041346,2020,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
476,041404,2021,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
477,041405,2021,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
478,041431,2022,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
479,041445,2022,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
480,041446,2022,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
481,041447,2022,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
482,041448,2022,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
483,041449,2022,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
484,041450,2022,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
485,041451,2022,CHEVROLET,EQUINOX,No,MUNICIPAL LICENSING & STDS,Not Underutilized
486,041454,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
487,041455,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
488,041456,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
489,041457,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
490,041458,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
491,041459,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
492,041460,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
493,041461,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
494,041462,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
495,041463,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
496,041464,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
497,041465,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
498,041466,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
499,041467,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
500,041468,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
501,041469,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
502,041470,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
503,041471,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
504,041472,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
505,041473,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
506,041474,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
507,041475,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
508,041476,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
509,041477,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
510,041478,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
511,041479,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
512,041480,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
513,041481,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
514,041482,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
515,041483,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
516,041484,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
517,041485,2024,FORD,ESCAPE HYBRI,No,MUNICIPAL LICENSING & STDS,Not Underutilized
518,041487,2024,CHEVROLET,EQUINOX EV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
519,041488,2024,CHEVROLET,EQUINOX EV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
520,041489,2024,CHEVROLET,EQUINOX EV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
521,041490,2024,CHEVROLET,EQUINOX EV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
522,041491,2024,CHEVROLET,EQUINOX EV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
523,041492,2024,CHEVROLET,EQUINOX EV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
524,041493,2024,CHEVROLET,EQUINOX EV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
525,041494,2024,CHEVROLET,EQUINOX EV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
526,041518,2024,CHEVROLET,EQUINOX EV,No,MUNICIPAL LICENSING & STDS,Not Underutilized
